"EC Reference Number","Entity name","Entity type","Registration status","Register","Entity status","Referendum","Designation status","Company reg no","Date of registration / notification","Fielding candidates in england","Fielding candidates in scotland","Fielding candidates in wales","Fielding candidates in combined region","Minor party fielding candidates","Referendum outcome"
"PP 885","Community Partnership (Northern Ireland)","Political Party","Registered","Northern Ireland","","","","","29/09/2010 00:00:00","N","N","N","N","N",""
"PP 10","Community Representatives Party","Political Party","Registered","Great Britain","","","","","14/09/2000 00:00:00","Y","N","N","N","N",""
"PP 51","Conservative and Unionist Party","Political Party","Registered","Northern Ireland","","","","","16/02/2001 00:00:00","N","N","N","N","N",""
"PP 52","Conservative Party","Political Party","Registered","Great Britain","","","","","14/01/1999 00:00:00","Y","Y","Y","Y","N",""
"PP 119","Co-operative Party","Political Party","Registered","Great Britain","","","","","25/02/1999 00:00:00","Y","Y","Y","N","N",""
"PP 2355","Deep Earth Ecosphere Preservation Alliance","Political Party","Registered","Great Britain","","","","","24/07/2014 00:00:00","Y","Y","Y","Y","N",""
"PP 1962","Democracy 2015","Political Party","Registered","Great Britain","","","","","10/10/2012 00:00:00","Y","Y","Y","N","N",""
"PP 2277","Democracy First","Political Party","Registered","Northern Ireland","","","","","10/03/2014 00:00:00","N","N","N","N","N",""
"PP 1724","Democracy First","Political Party","Registered","Great Britain","","","","","31/03/2011 00:00:00","Y","N","N","N","N",""
"PP 731","Democratic Independence Party","Political Party","Registered","Great Britain","","","","","19/09/2008 00:00:00","Y","N","N","N","N",""
"PP 2216","Democratic Reform Party","Political Party","Registered","Great Britain","","","","","20/02/2014 00:00:00","Y","N","N","N","N",""
"PP 1860","Democratic Republican Party","Political Party","Registered","Great Britain","","","","","01/02/2012 00:00:00","Y","Y","Y","N","N",""
"PP 70","Democratic Unionist Party - D.U.P.","Political Party","Registered","Northern Ireland","","","","","14/01/1999 00:00:00","N","N","N","N","N",""
"PP 147","Derwentside Independents","Political Party","Registered","Great Britain","","","","","18/04/2001 00:00:00","Y","N","N","N","N",""
"PP 249","Devizes Guardians","Political Party","Registered","Great Britain","","","","","19/06/2002 00:00:00","Y","N","N","N","N",""
"PP 667","Direct Democracy (Communist) Party","Political Party","Registered","Great Britain","","","","","06/06/2007 00:00:00","Y","Y","Y","N","N",""
"PP 2339","Doncaster First Independents Group","Political Party","Registered","Great Britain","","","","","15/04/2014 00:00:00","Y","N","N","N","N",""
"PPm 1711","Dunmow First","Minor Party","Registered","","","","","","24/03/2011 00:00:00","Y","N","N","N","Y",""
"PP 12","East Cleveland Independent","Political Party","Registered","Great Britain","","","","","25/02/1999 00:00:00","Y","N","N","N","N",""
"PP 646","East Lindsey Independent Group","Political Party","Registered","Great Britain","","","","","19/03/2007 00:00:00","Y","N","N","N","N",""
"PP 729","Edinburgh Residents Party","Political Party","Registered","Great Britain","","","","","29/08/2008 00:00:00","N","Y","N","N","N",""
"PP 1715","éirígí","Political Party","Registered","Northern Ireland","","","","","29/03/2011 00:00:00","N","N","N","N","N",""
"PP 675","Elm Park Residents' Association","Political Party","Registered","Great Britain","","","","","25/06/2007 00:00:00","Y","N","N","N","N",""
"PP 691","ENG","Political Party","Registered","Great Britain","","","","","12/02/2008 00:00:00","Y","Y","Y","N","N",""
"PP 692","ENG","Political Party","Registered","Northern Ireland","","","","","12/02/2008 00:00:00","N","N","N","N","N",""
"PP 17","English Democrats","Political Party","Registered","Great Britain","","","","","15/11/1999 00:00:00","Y","N","Y","N","N",""
"PP 5","English Independence Party","Political Party","Registered","Great Britain","","","","","18/04/2000 00:00:00","Y","Y","Y","N","N",""
"PP 258","English National Party","Political Party","Registered","Great Britain","","","","","18/09/2002 00:00:00","Y","Y","Y","N","N",""
"PP 195","English Parliamentary Party","Political Party","Registered","Great Britain","","","","","25/07/2001 00:00:00","Y","N","N","N","N",""
"PP 693","English People's Party","Political Party","Registered","Great Britain","","","","","11/02/2008 00:00:00","Y","Y","Y","N","N",""
"PP 2194","Equal and Just Society","Political Party","Registered","Great Britain","","","","","20/01/2014 00:00:00","Y","Y","Y","Y","N",""
"PP 526","Equal Parenting Alliance","Political Party","Registered","Great Britain","","","","","22/02/2006 00:00:00","Y","Y","Y","Y","N",""
"PP 59","Esher Residents Association","Political Party","Registered","Great Britain","","","","","28/02/2000 00:00:00","Y","N","N","N","N",""
"PP 901","Eston Independent Party","Political Party","Registered","Great Britain","","","","","25/01/2011 00:00:00","Y","N","N","N","N",""
"PP 2309","Europeans Party","Political Party","Registered","Great Britain","","","","","01/04/2014 00:00:00","Y","N","N","N","N",""
"PP 230","Ewell Court Residents' Association","Political Party","Registered","Great Britain","","","","","20/03/2002 00:00:00","Y","N","N","N","N",""
"PP 188","Fancy Dress Party","Political Party","Registered","Great Britain","","","","","17/05/2001 00:00:00","Y","N","N","N","N",""
"PP 2295","Fermanagh Against Fracking","Political Party","Registered","Northern Ireland","","","","","10/03/2014 00:00:00","N","N","N","N","N",""
"PP 689","Fianna Fáil - The Republican Party","Political Party","Registered","Northern Ireland","","","","","10/12/2007 00:00:00","N","N","N","N","N",""
"PP 2438","For Russia","Political Party","Registered","Great Britain","","","","","24/07/2014 00:00:00","Y","Y","Y","N","N",""
"PP 2299","FRAG","Political Party","Registered","Great Britain","","","","","03/04/2014 00:00:00","Y","N","N","N","N",""
"PP 866","Free Public Transport Party","Political Party","Registered","Great Britain","","","","","13/04/2010 00:00:00","Y","Y","Y","N","N",""
"PP 372","Free Scotland Party [FSP]","Political Party","Registered","Great Britain","","","","","01/04/2004 00:00:00","N","Y","N","N","N",""
"PP 1920","Fulham Group","Political Party","Registered","Great Britain","","","","","24/07/2012 00:00:00","Y","Y","Y","Y","N",""
"PP 149","Fylde Ratepayers","Political Party","Registered","Great Britain","","","","","18/04/2001 00:00:00","Y","N","N","N","N",""
"PP 609","Get Snouts Out The Trough","Political Party","Registered","Great Britain","","","","","11/12/2006 00:00:00","Y","N","N","N","N",""
"PPm 1970","Gift Economy Party","Minor Party","Registered","","","","","","12/11/2012 00:00:00","Y","N","Y","N","Y",""
"PP 1855","Glasgow First","Political Party","Registered","Great Britain","","","","","29/02/2012 00:00:00","N","Y","N","N","N",""
"PP 63","Green Party","Political Party","Registered","Great Britain","","","","","25/02/1999 00:00:00","Y","N","Y","Y","N",""
"PP 305","Green Party","Political Party","Registered","Northern Ireland","","","","","10/04/2003 00:00:00","N","N","N","N","N",""
"PP 2030","Hackney First","Political Party","Registered","Great Britain","","","","","28/03/2013 00:00:00","Y","N","N","N","N",""
"PPm 284","Hadley & Leegomery Residents Association","Minor Party","Registered","","","","","","19/02/2003 00:00:00","Y","N","N","N","Y",""
"PP 251","Halstead Residents' Association","Political Party","Registered","Great Britain","","","","","10/07/2002 00:00:00","Y","N","N","N","N",""
"PP 96","Handforth 'Ratepayers' Association (Independent)","Political Party","Registered","Great Britain","","","","","02/03/2000 00:00:00","Y","N","N","N","N",""
